"metric","clock_model","treePL_wins","chronos_wins","ties"
"pulse_score","strict",0,6,0
"pulse_score","autocorrelated",0,6,0
"pulse_score","independent",0,6,0
"pulse_score","discrete",0,6,0
"burst_loss","strict",0,6,0
"burst_loss","autocorrelated",0,5,1
"burst_loss","independent",0,6,0
"burst_loss","discrete",0,6,0
"tempo_composite","strict",0,6,0
"tempo_composite","autocorrelated",1,5,0
"tempo_composite","independent",0,6,0
"tempo_composite","discrete",0,6,0
"mae_mean30","strict",0,6,0
"mae_mean30","autocorrelated",0,6,0
"mae_mean30","independent",0,6,0
"mae_mean30","discrete",2,4,0
"rate_irregularity","strict",5,1,0
"rate_irregularity","autocorrelated",1,5,0
"rate_irregularity","independent",0,6,0
"rate_irregularity","discrete",0,6,0
